,Player Name,Goals/90min,Assists/90min,Yel/90min,Red/90min,SpG,PS%,Rating,Tackles,Inter,Fouls (def),Offsides,Clear,DrB (def),Blocks,DrB (off),Fouled (off),Off (off),Disp (off),KeyP,AvgP,Crosses,LongB,ThrB,OutOfBox,SixYardBox,PenaltyArea,Playing_Nature,Vertical Position,Horizontal Position
5493,Sebastian Ribas,0.6,0.17,0.17,0.0,1.7,61.8,7.1,0.4,0.2,1.0,0.0,1.4,0.7,0.2,0.2,1.6,1.0,0.9,0.9,23.4,0.2,0.2,0.0,0.3,0.2,1.2,Attacking,Forward,Center
5605,Gino Peruzzi,0.0,0.0,0.57,0.0,0.0,78.9,6.56,1.3,0.8,1.8,0.0,1.7,0.5,0.5,1.2,0.5,0.0,0.5,0.2,24.5,0.0,1.7,0.0,0.0,0.0,0.0,Defensive,Back,Right
5609,Santiago Romero,0.0,0.0,0.41,0.0,0.8,73.6,6.63,2.5,1.5,1.2,0.0,1.0,0.5,0.2,0.0,0.8,0.0,0.5,0.8,32.8,0.2,2.0,0.0,0.8,0.0,0.0,Neutral,Mid,Center
5611,Dario Benedetto,1.07,0.36,0.36,0.0,3.0,77.7,7.79,0.3,0.0,1.1,0.0,0.7,0.2,0.3,1.2,1.6,0.7,2.0,1.1,19.9,0.0,1.3,0.2,1.2,0.6,1.2,Attacking,Forward,Center
5612,Cristian Pavon,0.27,0.43,0.12,0.0,2.4,74.5,7.51,1.3,0.8,0.4,0.0,0.2,1.2,0.0,2.4,1.1,0.4,2.0,1.8,35.4,1.0,1.1,0.0,1.4,0.0,1.0,Attacking,Forward,Right
5613,Frank Fabra,0.14,0.14,0.28,0.0,0.5,83.8,7.45,2.7,1.6,1.3,0.0,2.4,1.1,0.3,2.0,0.9,0.0,0.8,1.0,40.0,0.3,2.4,0.0,0.2,0.0,0.2,Defensive,Back,Left
5614,Edwin Cardona,0.46,0.11,0.34,0.11,3.3,76.3,7.37,1.6,0.7,1.6,0.1,0.3,0.7,0.0,2.4,2.0,0.3,2.0,1.6,36.7,1.2,3.3,0.2,2.3,0.0,1.0,Attacking,Forward,Left
5615,Wilmar Barrios,0.04,0.0,0.31,0.0,0.2,84.2,7.32,3.2,2.7,1.6,0.1,2.1,1.1,0.5,0.8,1.9,0.0,0.8,0.3,50.1,0.0,2.6,0.0,0.1,0.0,0.1,Neutral,Mid,Center
5616,Pablo Perez,0.31,0.12,0.68,0.06,1.4,79.9,7.23,2.6,0.8,2.7,0.1,1.2,1.1,0.1,1.3,1.9,0.0,2.1,1.2,55.1,0.2,3.8,0.2,0.8,0.1,0.5,Neutral,Mid,Center
5617,Carlos Tevez,0.55,0.22,0.0,0.0,2.8,85.8,7.22,0.9,0.2,0.4,0.0,0.1,0.8,0.0,1.8,2.0,0.3,2.7,1.5,33.2,0.2,2.4,0.4,1.1,0.3,1.4,Attacking,Mid,Center
5618,Fernando Gago,0.0,0.0,0.0,0.0,1.0,81.0,7.19,1.7,2.0,0.8,0.3,0.7,1.2,0.2,0.2,2.8,0.0,0.8,1.8,72.7,0.2,4.3,0.3,0.8,0.0,0.2,Neutral,Mid,Center
5620,Emanuel Reynoso,0.0,0.18,0.06,0.06,1.5,80.0,7.05,2.3,1.2,1.4,0.0,0.3,2.0,0.1,2.3,1.4,0.0,2.5,1.4,43.0,0.5,2.9,0.4,1.2,0.0,0.3,Neutral,Mid,Center
5621,Lisandro Magallan,0.0,0.04,0.0,0.0,0.4,83.2,6.99,1.6,2.0,0.8,0.6,6.1,0.3,0.4,0.0,0.4,0.0,0.1,0.2,53.2,0.0,2.9,0.0,0.0,0.1,0.4,Defensive,Back,Center
5622,Nahitan Nandez,0.18,0.0,0.23,0.0,1.0,81.5,6.92,2.5,0.7,1.5,0.0,0.7,0.9,0.1,1.1,2.1,0.2,1.4,0.7,35.7,0.3,0.7,0.0,0.5,0.0,0.5,Neutral,Mid,Center
5623,Paolo Goltz,0.0,0.0,0.0,0.06,0.3,88.2,6.91,1.3,1.8,0.5,0.6,4.8,0.6,0.6,0.1,0.4,0.1,0.1,0.2,46.9,0.1,2.6,0.0,0.0,0.0,0.3,Defensive,Back,Center
5624,Ramon Abila,0.85,0.43,0.21,0.0,1.4,64.0,6.91,0.2,0.1,0.4,0.0,0.5,0.3,0.1,0.5,1.2,0.8,0.5,0.9,12.3,0.1,0.2,0.1,0.2,0.3,1.0,Attacking,Forward,Center
5626,Santiago Vergini,0.0,0.0,0.38,0.0,0.1,79.6,6.82,1.5,1.9,0.8,0.4,6.0,0.3,0.6,0.4,0.0,0.0,0.3,0.1,45.9,0.0,2.5,0.0,0.0,0.0,0.1,Defensive,Back,Center
5629,Sebastian Perez,0.0,0.0,0.79,0.0,0.0,85.6,6.64,3.3,2.3,1.3,0.7,1.3,1.3,0.3,0.0,0.7,0.0,0.7,0.0,34.7,0.0,3.7,0.0,0.0,0.0,0.0,Defensive,Mid,Center
5630,Gino Peruzzi,0.0,0.0,0.57,0.0,0.0,78.9,6.56,1.3,0.8,1.8,0.0,1.7,0.5,0.5,1.2,0.5,0.0,0.5,0.2,24.5,0.0,1.7,0.0,0.0,0.0,0.0,Defensive,Back,Right
5632,Julian Chicco,0.0,0.0,0.98,0.0,0.5,81.8,6.52,0.5,3.5,1.0,0.0,1.5,1.5,0.5,0.5,0.5,0.0,1.0,0.5,22.0,0.0,0.0,0.0,0.5,0.0,0.0,Neutral,Mid,Center
5633,Agustin Bouzat,0.14,0.07,0.22,0.0,1.1,71.0,6.67,1.4,0.5,0.9,0.0,0.4,0.8,0.1,1.4,1.6,0.3,1.1,0.8,17.8,0.4,0.4,0.0,0.4,0.0,0.7,Attacking,Mid,Right
5642,Fernando Evangelista,0.0,0.0,0.46,0.0,0.7,76.4,7.03,3.5,1.5,1.5,0.2,1.9,0.9,0.3,0.7,1.0,0.0,1.1,0.6,31.0,0.4,1.8,0.0,0.1,0.2,0.4,Defensive,Back,Left
5643,Sebastian Olivarez,1.0,0.0,0.0,0.0,2.0,65.4,8.71,2.0,8.0,1.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,52.0,0.0,10.0,0.0,0.0,0.0,2.0,Defensive,Back,Center
5644,Fabricio Angileri,0.0,0.22,0.31,0.04,0.7,67.2,7.2,1.6,1.8,0.8,0.3,3.0,0.6,0.4,1.0,0.3,0.0,0.4,0.8,28.0,1.3,2.3,0.0,0.6,0.0,0.2,Defensive,Back,Left
5645,Tomas Cardona,0.11,0.05,0.38,0.0,0.5,68.4,7.2,1.0,2.9,1.4,1.1,6.6,0.3,0.6,0.1,0.8,0.2,0.2,0.1,34.5,0.0,4.0,0.0,0.0,0.2,0.3,Defensive,Back,Center
5646,Facundo Cobos,0.15,0.0,0.15,0.0,0.5,56.4,7.14,2.5,4.1,1.9,0.4,2.9,0.5,0.1,0.1,0.6,0.0,0.5,0.3,24.4,0.5,0.9,0.0,0.5,0.0,0.0,Defensive,Back,Left
5647,Santiago Garcia,0.67,0.16,0.2,0.0,2.0,60.4,7.14,0.2,0.1,1.4,0.0,0.4,0.3,0.1,0.5,1.5,0.6,1.9,1.2,15.7,0.2,0.3,0.2,0.4,0.2,1.4,Attacking,Forward,Center
5648,Gaston Gimenez,0.0,0.11,0.34,0.0,1.3,77.0,6.98,2.4,1.1,1.5,0.1,1.5,0.8,0.2,1.4,1.0,0.0,1.4,1.2,37.7,1.3,3.7,0.3,1.2,0.1,0.1,Neutral,Mid,Center
5649,Pol Fernandez,0.13,0.09,0.18,0.0,1.7,78.4,7.06,2.0,0.8,1.0,0.0,1.2,1.0,0.0,0.9,0.8,0.1,1.3,1.6,36.4,1.0,4.2,0.0,1.2,0.0,0.5,Attacking,Mid,Center
5650,Juan Andrada,0.0,0.0,0.12,0.0,0.4,75.6,7.05,2.8,2.9,1.9,0.1,1.1,1.5,0.3,1.2,1.5,0.0,1.0,0.3,32.1,0.0,1.9,0.0,0.4,0.0,0.0,Defensive,Mid,Center
5651,Diego Viera,0.04,0.0,0.24,0.0,0.6,71.8,7.05,1.1,1.9,0.5,0.6,6.2,0.2,0.5,0.4,0.2,0.0,0.2,0.2,35.1,0.0,3.4,0.0,0.2,0.0,0.3,Defensive,Back,Center
5652,Luciano Abecasis,0.05,0.29,0.14,0.0,0.8,69.1,7.01,2.3,1.5,1.3,0.5,1.8,1.1,0.5,0.9,1.6,0.0,1.3,1.0,25.2,0.8,2.6,0.0,0.8,0.0,0.0,Defensive,Back,Right
5653,Leonel Galeano,0.14,0.0,0.0,0.0,0.3,72.2,6.97,1.5,1.9,0.5,0.8,5.1,0.8,0.9,0.6,0.4,0.0,0.3,0.3,37.4,0.0,3.6,0.0,0.0,0.0,0.3,Defensive,Back,Center
5654,Juan Garro,0.36,0.29,0.14,0.0,1.3,61.3,6.89,0.5,0.7,0.7,0.1,0.4,0.5,0.1,1.2,0.7,0.5,1.2,0.6,12.4,0.2,0.4,0.1,0.2,0.0,1.1,Attacking,Mid,Left
5656,Jalil Elias,0.0,0.06,0.19,0.0,0.6,78.8,6.64,1.7,1.1,1.4,0.0,1.1,1.1,0.2,0.3,0.5,0.1,1.1,0.5,36.5,0.2,2.7,0.0,0.3,0.1,0.2,Defensive,Mid,Center
5657,Cristian Baez,0.0,0.0,0.21,0.0,0.1,70.7,6.68,0.6,1.4,0.8,0.2,3.7,0.4,0.2,0.1,0.4,0.0,0.2,0.3,21.9,0.2,2.3,0.0,0.0,0.0,0.1,Defensive,Back,Right
5658,Angel Gonzalez,0.23,0.11,0.11,0.0,1.1,77.7,6.68,1.0,0.7,1.1,0.0,0.3,0.7,0.0,1.1,0.8,0.1,1.8,0.4,12.4,0.2,0.5,0.0,0.4,0.2,0.4,Attacking,Mid,Right
5660,Walter Serrano,0.0,0.0,0.0,0.0,0.3,63.4,6.62,1.0,1.3,0.3,0.3,2.3,1.7,0.3,0.0,0.7,0.0,0.0,0.0,13.7,0.0,0.7,0.0,0.3,0.0,0.0,Defensive,Mid,Center
5662,Javier Correa,0.71,0.0,0.19,0.0,2.2,64.5,6.91,0.6,0.1,1.1,0.0,0.7,0.7,0.1,1.0,0.4,0.8,0.6,0.7,14.0,0.1,0.6,0.0,0.9,0.1,1.2,Attacking,Forward,Center
5672,Juan Ramirez,0.21,0.04,0.12,0.0,1.4,83.4,7.51,2.4,1.6,1.3,0.0,0.4,1.5,0.3,2.9,3.5,0.0,1.4,1.3,43.6,0.3,1.2,0.1,0.8,0.0,0.7,Neutral,Mid,Center
5673,Carlos Quintana,0.12,0.0,0.19,0.0,0.7,83.7,7.38,1.5,2.1,1.3,0.2,5.1,0.3,0.9,0.4,0.6,0.2,0.1,0.1,47.8,0.0,2.9,0.0,0.0,0.1,0.7,Defensive,Back,Center
5674,Lucas Olaza,0.17,0.04,0.21,0.0,1.5,74.7,7.23,1.8,1.6,0.6,0.3,2.4,0.5,0.2,0.8,0.9,0.1,0.5,1.2,54.9,1.3,3.0,0.0,1.3,0.0,0.2,Defensive,Back,Left
5675,Emanuel Reynoso,0.0,0.18,0.06,0.06,1.5,80.0,7.05,2.3,1.2,1.4,0.0,0.3,2.0,0.1,2.3,1.4,0.0,2.5,1.4,43.0,0.5,2.9,0.4,1.2,0.0,0.3,Neutral,Mid,Center
5676,Javier Gandolfi,0.0,0.0,0.26,0.0,0.6,87.6,7.07,1.2,1.2,1.0,0.3,5.1,0.2,0.7,0.1,1.3,0.3,0.2,0.2,51.7,0.0,5.0,0.0,0.0,0.1,0.5,Defensive,Back,Center
5677,Juan Cruz Komar,0.0,0.0,0.11,0.0,0.6,81.3,7.04,1.1,2.3,0.9,0.3,4.2,0.5,0.8,0.1,0.5,0.1,0.1,0.1,47.9,0.0,3.7,0.0,0.0,0.1,0.6,Defensive,Back,Center
5678,Leonardo Godoy,0.0,0.09,0.4,0.0,0.7,69.3,6.95,1.9,1.6,1.5,0.0,2.3,0.7,0.2,0.9,1.7,0.0,0.7,0.6,27.9,0.4,2.0,0.0,0.2,0.1,0.3,Defensive,Back,Right
5679,Pablo Guinazu,0.0,0.04,0.13,0.04,0.1,90.2,6.91,2.6,1.7,1.7,0.1,0.8,1.2,0.4,0.3,1.6,0.0,0.6,0.7,65.3,0.0,1.9,0.0,0.1,0.0,0.0,Neutral,Mid,Center
5680,Jonathan Menendez,0.11,0.22,0.11,0.0,1.7,80.7,6.76,1.2,0.3,0.4,0.0,0.0,0.5,0.0,1.2,1.1,0.5,2.0,1.4,13.2,0.3,0.3,0.2,0.5,0.2,1.0,Attacking,Forward,Left
5681,Joao Rojas,0.04,0.22,0.04,0.04,1.6,76.5,6.89,1.0,0.6,0.8,0.0,0.2,0.4,0.0,2.4,1.4,0.4,1.8,1.0,27.8,0.8,0.6,0.1,0.6,0.1,0.9,Attacking,Forward,Left
5683,Ian Escobar,0.0,0.0,0.0,0.0,0.3,66.0,6.8,2.7,1.7,1.3,0.0,0.7,2.0,0.3,1.0,0.3,0.0,0.0,1.0,32.3,0.7,1.3,0.0,0.3,0.0,0.0,Defensive,Back,Left
5684,Nahuel Tenaglia,0.0,0.0,0.0,0.0,0.4,75.4,6.74,2.0,1.8,1.2,0.0,2.2,0.6,0.2,1.0,1.8,0.0,0.4,0.8,25.2,0.6,0.4,0.0,0.2,0.0,0.2,Defensive,Back,Right
5685,Sebastian Palacios,1.33,0.13,0.27,0.0,2.2,74.1,6.72,0.9,0.2,1.4,0.0,0.0,0.8,0.0,0.4,1.8,0.4,2.0,1.1,17.6,1.4,0.4,0.1,0.6,0.0,1.7,Attacking,Forward,Right
5686,Santiago Silva,0.38,0.1,0.1,0.1,1.8,62.7,6.68,0.8,0.1,1.2,0.1,0.9,0.6,0.1,0.4,1.7,0.6,1.2,0.6,15.7,0.0,0.0,0.1,0.2,0.1,1.5,Attacking,Forward,Center
5687,Fernando Godoy,0.0,0.0,0.18,0.06,0.7,82.3,6.62,2.1,1.6,1.0,0.0,0.6,1.8,0.1,0.4,0.1,0.0,0.5,0.5,37.4,0.4,3.4,0.0,0.6,0.0,0.1,Neutral,Mid,Center
5694,Matias Pisano,0.0,0.8,0.4,0.0,0.5,72.7,6.38,0.7,0.3,0.5,0.0,0.0,0.3,0.0,0.5,0.5,0.0,0.5,0.5,14.7,0.0,0.3,0.3,0.3,0.0,0.2,Attacking,Forward,Right
5700,Nicolas Tagliafico,0.04,0.08,0.16,0.04,0.6,84.0,7.24,2.7,3.0,1.3,0.1,1.8,0.7,0.2,0.6,2.1,0.0,0.7,0.9,47.1,0.3,1.4,0.0,0.2,0.0,0.3,Defensive,Back,Left
5701,Maximiliano Meza,0.17,0.22,0.06,0.0,2.4,76.8,7.29,1.2,0.6,1.1,0.0,1.1,0.5,0.0,2.3,2.9,0.2,2.6,1.7,35.3,0.5,2.2,0.3,1.0,0.1,1.3,Attacking,Mid,Center
5702,Fernando Amorebieta,0.0,0.0,0.76,0.0,0.0,80.4,7.26,0.9,3.3,1.5,0.5,6.0,0.3,0.7,0.0,1.1,0.0,0.2,0.4,40.9,0.0,3.1,0.0,0.0,0.0,0.0,Defensive,Back,Center
5703,Gaston Silva,0.09,0.0,0.18,0.0,0.6,86.2,7.25,2.8,2.4,0.8,0.9,3.3,0.6,0.2,0.3,0.8,0.0,0.1,1.3,43.0,1.3,2.9,0.0,0.3,0.1,0.2,Defensive,Back,Center
5704,Ezequiel Barco,0.29,0.21,0.21,0.0,1.0,84.7,7.13,0.8,0.2,0.4,0.0,0.1,0.7,0.0,1.8,2.9,0.1,1.9,2.2,33.7,0.8,1.3,0.1,0.4,0.0,0.6,Attacking,Forward,Center
5705,Martin Benitez,0.64,0.14,0.0,0.0,1.9,74.7,7.12,1.2,0.8,0.5,0.0,0.3,0.8,0.2,2.3,1.8,0.3,1.8,1.1,26.9,0.3,0.9,0.1,1.2,0.2,0.5,Attacking,Mid,Center
5706,Emanuel Britez,0.0,0.0,0.19,0.1,0.4,74.4,6.86,3.0,2.0,1.0,0.4,2.6,0.8,0.2,0.2,0.9,0.0,0.5,0.3,27.4,0.2,1.5,0.1,0.1,0.0,0.3,Defensive,Back,Right
5708,Jonas Gutierrez,0.0,0.06,0.19,0.0,0.3,72.1,7.05,2.4,1.8,0.5,0.2,1.8,1.1,0.4,1.6,1.8,0.1,1.2,0.7,29.8,0.2,1.3,0.1,0.2,0.0,0.2,Defensive,Back,Right
5710,Jorge Figal,0.0,0.0,0.32,0.08,0.6,81.2,6.99,1.7,1.4,1.9,0.7,2.4,0.8,0.6,1.0,0.6,0.0,0.6,0.4,48.7,0.1,3.9,0.1,0.0,0.1,0.5,Defensive,Back,Center
5711,Leandro Fernandez,0.32,0.16,0.32,0.0,3.4,62.8,6.89,0.9,0.2,1.6,0.0,0.8,0.7,0.0,1.6,1.4,0.6,2.4,1.3,19.7,1.1,0.7,0.1,1.8,0.1,1.4,Attacking,Forward,Center
5712,Fabricio Bustos,0.17,0.17,0.34,0.09,0.3,79.2,6.82,1.9,1.7,1.1,0.0,1.6,0.8,0.3,1.0,1.0,0.0,1.3,0.9,45.6,0.3,2.2,0.1,0.1,0.0,0.2,Defensive,Back,Right
5713,Nicolas Domingo,0.05,0.0,0.16,0.0,0.4,83.3,6.82,1.7,2.2,1.2,0.1,1.5,1.4,0.2,0.7,1.1,0.1,0.9,0.5,45.6,0.0,4.0,0.1,0.2,0.0,0.2,Defensive,Mid,Center
5714,Juan Sanchez Mino,0.0,0.16,0.31,0.0,0.7,78.2,6.8,1.5,1.3,0.6,0.2,1.2,1.1,0.3,1.3,0.5,0.1,0.9,1.3,37.2,1.0,1.4,0.0,0.3,0.1,0.3,Defensive,Back,Left
5723,Silvio Romero,0.16,0.16,0.0,0.0,0.8,75.7,6.58,0.7,0.1,0.3,0.0,0.2,0.6,0.0,1.7,1.6,0.6,1.3,0.8,16.4,0.7,0.1,0.1,0.0,0.1,0.7,Attacking,Forward,Center
5727,Walter Erviti,0.0,0.0,0.0,0.0,0.5,84.8,6.47,1.3,0.3,1.0,0.0,0.5,0.7,0.0,0.5,0.7,0.0,1.3,1.0,25.2,0.8,1.0,0.0,0.3,0.0,0.2,Attacking,Mid,Center
5728,Jonathan Menendez,0.11,0.22,0.11,0.0,1.7,80.7,6.76,1.2,0.3,0.4,0.0,0.0,0.5,0.0,1.2,1.1,0.5,2.0,1.4,13.2,0.3,0.3,0.2,0.5,0.2,1.0,Attacking,Forward,Left
5730,Braian Romero,0.5,0.17,0.0,0.0,1.3,70.9,6.77,1.3,0.3,0.8,0.0,0.4,0.7,0.1,0.8,1.5,0.3,1.3,0.9,15.6,0.1,0.3,0.1,0.4,0.1,0.8,Attacking,Forward,Left
5732,German Conti,0.08,0.04,0.32,0.0,0.6,75.1,7.44,1.9,3.8,1.2,0.6,8.5,0.7,0.7,0.2,0.7,0.0,0.2,0.1,35.8,0.0,2.4,0.0,0.0,0.0,0.5,Defensive,Back,Center
5733,Emanuel Olivera,0.0,0.85,0.85,0.0,0.0,67.6,7.29,0.5,1.0,1.5,0.0,8.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,17.0,0.0,1.5,0.0,0.0,0.0,0.0,Defensive,Back,Center
5734,Guillermo Ortiz,0.08,0.0,0.41,0.0,0.4,76.0,7.27,2.1,2.3,1.5,0.4,7.9,0.5,0.7,0.4,0.2,0.3,0.1,0.1,33.1,0.0,4.4,0.0,0.0,0.0,0.4,Defensive,Back,Center
5735,Javier Correa,0.71,0.0,0.19,0.0,2.2,64.5,6.91,0.6,0.1,1.1,0.0,0.7,0.7,0.1,1.0,0.4,0.8,0.6,0.7,14.0,0.1,0.6,0.0,0.9,0.1,1.2,Attacking,Forward,Center
5736,Lucas Ceballos,0.0,0.2,0.2,0.0,0.6,70.5,7.12,2.4,3.0,1.4,0.0,3.2,1.2,0.6,0.6,0.8,0.0,0.0,0.6,34.6,0.6,2.4,0.0,0.6,0.0,0.0,Defensive,Back,Right
5737,Gonzalo Escobar,0.0,0.04,0.25,0.04,0.4,70.4,6.92,2.7,2.0,1.7,0.3,2.9,1.0,0.3,1.0,0.5,0.1,0.8,0.8,31.1,0.6,1.8,0.0,0.2,0.0,0.3,Defensive,Back,Left
5738,Matias Fritzler,0.04,0.09,0.38,0.04,0.6,77.3,7.1,2.4,2.5,1.5,0.0,2.5,1.2,0.4,0.3,1.0,0.0,0.6,0.7,42.1,0.0,1.7,0.0,0.4,0.0,0.3,Neutral,Mid,Center
5739,Alan Ruiz,0.15,0.15,0.39,0.0,2.0,79.8,6.85,0.9,0.1,1.6,0.0,0.1,0.3,0.0,1.7,2.2,0.0,2.2,1.3,28.4,0.7,2.2,0.1,1.7,0.0,0.3,Attacking,Mid,Center
5741,Cristian Guanca,0.05,0.22,0.16,0.0,2.2,79.2,6.88,1.0,0.7,0.7,0.0,0.8,1.1,0.1,1.3,0.5,0.1,1.5,1.8,29.0,1.8,1.1,0.0,1.6,0.1,0.5,Attacking,Mid,Center
5743,Pablo Ledesma,0.08,0.15,0.31,0.0,0.8,83.9,6.86,2.1,1.2,1.6,0.1,0.6,1.8,0.1,0.6,1.9,0.1,1.4,0.5,42.4,0.1,1.6,0.1,0.6,0.0,0.2,Neutral,Mid,Center
5745,Clemente Rodriguez,0.0,0.0,0.1,0.0,0.3,72.4,6.75,1.8,1.9,0.5,0.0,2.4,1.6,0.3,0.5,0.1,0.2,0.5,0.7,33.9,0.4,2.4,0.0,0.3,0.0,0.0,Defensive,Back,Left
5748,Diego Vera,0.31,0.31,0.0,0.0,1.5,68.4,6.6,0.3,0.2,1.4,0.1,0.6,0.3,0.1,0.3,1.1,0.3,0.7,0.5,16.2,0.1,0.3,0.0,0.1,0.2,1.2,Attacking,Forward,Center
5749,Tomas Chancalay,0.2,0.13,0.39,0.07,1.6,76.2,6.57,0.9,0.2,1.8,0.0,0.3,1.0,0.0,1.0,1.0,0.7,1.6,0.8,13.9,0.5,0.6,0.1,0.8,0.0,0.7,Attacking,Forward,Center
5750,Jonathan Galvan,0.0,0.0,0.32,0.0,0.8,81.8,6.53,1.3,0.5,0.8,0.0,3.3,0.5,0.3,0.0,0.3,0.3,0.5,0.0,39.8,0.0,2.8,0.0,0.0,0.0,0.8,Defensive,Back,Center
5753,Diego Morales,0.24,0.24,0.16,0.0,1.6,76.3,7.08,1.3,0.7,0.8,0.0,0.2,0.8,0.0,2.6,1.3,0.1,1.3,1.5,32.3,1.1,2.0,0.1,0.8,0.1,0.7,Attacking,Mid,Center
5757,Paulo Miranda,0.0,0.0,0.38,0.0,0.6,79.6,7.52,1.3,2.0,1.0,0.6,8.5,0.8,1.0,0.0,1.4,0.0,0.1,0.1,51.8,0.0,5.8,0.0,0.0,0.1,0.5,Defensive,Back,Center
5764,Andre Ramalho,0.24,0.12,0.36,0.0,0.7,80.0,6.76,1.6,1.9,0.6,1.1,2.6,1.0,0.9,0.0,0.4,0.1,0.0,0.2,39.5,0.0,5.5,0.0,0.2,0.1,0.5,Defensive,Back,Center
5771,Fredrik Gulbrandsen,2.42,0.0,0.85,0.0,1.0,56.5,6.47,0.6,0.2,0.6,0.0,0.3,0.3,0.0,0.7,0.5,0.2,1.3,0.5,7.1,0.0,0.0,0.0,0.2,0.0,0.8,Attacking,Forward,Center
5795,Maximilian Wober,0.15,0.0,0.15,0.0,0.8,88.2,6.84,1.1,1.2,0.6,0.3,2.3,0.3,0.3,0.5,0.4,0.1,0.1,0.1,39.7,0.1,1.5,0.0,0.1,0.0,0.6,Defensive,Back,Center
5808,Raphael Holzhauser,1.68,0.67,1.68,0.0,2.2,80.9,6.95,0.7,1.7,0.8,0.2,0.5,0.8,0.3,0.7,2.3,0.0,0.5,2.2,62.7,1.3,8.0,0.2,2.2,0.0,0.0,Defensive,Mid,Center
5818,Heiko Westermann,0.0,0.0,0.81,0.0,0.0,92.8,6.45,0.7,1.3,0.7,1.0,3.0,1.0,0.7,0.3,1.7,0.0,0.0,0.3,60.0,0.0,2.3,0.0,0.0,0.0,0.0,Defensive,Back,Center
5822,Florian Klein,1.0,0.0,0.67,0.0,0.0,86.5,6.16,1.0,0.3,0.7,0.0,2.0,0.0,0.3,0.0,0.7,0.0,0.0,1.0,44.3,0.3,2.3,0.0,0.0,0.0,0.0,Defensive,Back,Right
6013,Michel,0.17,0.0,0.34,0.0,0.8,79.4,6.72,2.2,1.5,1.5,0.0,1.8,0.8,0.2,1.5,0.7,0.7,1.2,0.3,42.0,0.0,1.8,0.0,0.3,0.0,0.5,Neutral,Mid,Center
6020,Pedro Henrique,0.64,0.0,0.32,0.32,1.5,70.6,6.37,1.5,0.3,3.8,0.0,1.0,1.8,0.0,1.8,2.0,0.3,0.0,0.0,17.0,0.5,0.5,0.0,1.0,0.0,0.5,Attacking,Mid,Right
6036,Stanislav Dragun,0.0,0.0,0.33,0.0,0.8,76.2,6.78,1.8,3.7,1.5,0.0,2.7,2.3,0.8,0.0,1.0,0.3,0.8,0.7,46.2,0.0,3.8,0.3,0.7,0.2,0.0,Defensive,Mid,Center
6134,Mathieu Peybernes,0.0,0.0,0.0,0.0,0.0,71.6,6.6,1.2,1.9,0.4,1.1,3.4,0.2,0.7,0.0,0.8,0.0,0.2,0.0,27.8,0.0,1.2,0.0,0.0,0.0,0.0,Defensive,Back,Center
6177,Lucas Paqueta,0.31,0.1,0.31,0.0,2.6,84.3,8.0,3.0,1.6,1.6,0.0,2.2,2.6,0.3,2.2,3.0,0.0,2.1,1.7,48.4,0.5,2.7,0.2,1.7,0.3,0.6,Neutral,Mid,Center
6178,Rene,0.0,0.18,0.18,0.0,0.4,81.3,7.79,3.5,2.5,1.1,0.0,3.8,2.0,0.9,0.8,1.2,0.1,0.5,1.5,59.9,0.5,2.9,0.2,0.3,0.0,0.1,Defensive,Back,Left
6179,Rodinei,0.0,0.17,0.17,0.0,0.8,85.9,7.41,2.2,0.8,0.3,0.2,2.8,0.7,0.3,2.3,1.7,0.1,0.5,0.9,35.6,0.6,1.3,0.1,0.5,0.0,0.3,Defensive,Back,Right
6180,Diego,0.38,0.0,0.38,0.0,2.0,85.5,7.36,1.4,0.5,1.8,0.0,0.4,2.1,0.1,2.1,3.5,0.8,1.3,2.4,49.0,0.6,1.9,0.0,0.8,0.3,1.0,Neutral,Mid,Center
6181,Everton Ribeiro,0.44,0.11,0.22,0.11,1.3,84.8,7.29,1.8,1.1,1.5,0.0,0.6,1.4,0.0,2.0,1.8,0.0,1.6,1.3,42.8,1.1,1.6,0.1,0.6,0.0,0.7,Neutral,Mid,Right
6182,Rever,0.22,0.0,0.0,0.0,1.2,90.1,7.27,0.4,0.6,0.0,0.0,5.2,0.6,1.8,0.0,1.2,0.0,0.0,0.2,38.2,0.0,4.6,0.0,0.0,0.2,1.0,Defensive,Back,Center
6183,Thuler,0.28,0.0,0.28,0.0,0.2,84.3,7.28,2.6,1.8,0.6,0.4,4.0,0.4,0.8,0.2,0.2,0.0,0.0,0.0,24.2,0.0,0.6,0.0,0.0,0.2,0.0,Defensive,Back,Center
6184,Vinicius Junior,0.55,0.28,0.28,0.0,2.7,80.7,7.26,0.8,0.3,0.7,0.0,0.3,2.1,0.0,2.6,2.3,0.2,1.8,1.1,23.8,0.3,0.3,0.1,0.8,0.1,1.8,Neutral,Mid,Left
6185,Miguel Trauco,0.0,0.99,0.0,0.0,0.3,72.8,7.08,2.3,0.3,1.3,0.7,0.3,0.0,0.0,1.0,0.3,0.0,0.7,2.3,33.0,2.3,2.7,0.0,0.3,0.0,0.0,Defensive,Back,Left
6188,Leo Duarte,0.0,0.0,0.1,0.0,0.5,91.8,7.11,1.2,1.4,0.2,0.1,3.8,0.2,0.7,0.8,0.4,0.0,0.0,0.1,38.8,0.0,1.6,0.0,0.1,0.0,0.4,Defensive,Back,Center
